id;Enseignes;Latitude;Longitude;CP;Adresse;Ville;Type
59600008;Carrefour;5029012.9937631;396572.81851196;59600;Boulevard Lamartine, Quartier de l'Epinette;Maubeuge;R
59610002;Carrefour;5002400.0;402800.0;59610;rue theophile legrand;FOURMIES;R
59630002;Carrefour Market;5093921.0;219998.0;59630;CHEMIN DE LA VIEILLE COLME;BOURBOURG;R
59650001;Carrefour Market;5062625.0;314909.0;59650;10 PLACE DE LA REPUBLIQUE;Villeneuve-d'Ascq;R
59670001;Carrefour Contact;5079772.2204962;249356.18899882;59670;769 avenue Albert Mahieu;Cassel;R
59680001;Carrefour Market;5026010.0;400607.0;59680;Avenue Georges Clémenceau;Ferrière-la-Grande;R
59700003;Carrefour;5068900.0;288600.0;59280;26 Avenue Aristide Briand;ARMENTIèRES;R
59721001;Carrefour;5032700.0;339400.0;59220;Rue de Villars;DENAIN;R
59730001;Carrefour Market;5018551.0;349109.0;59730;56 Rue de la République;Solesmes;R
59730005;Carrefour Contact;4780503.6148463;-428059.82128066;29730;1 rue du moulin;Guilvinec;R
59750004;Carrefour Market;5029762.0;391730.0;59750;28 Rue Jean Jaurès;Feignies;R
59770002;Carrefour Market;5034100.0;356600.0;59770;Avenue Henri Barbusse;MARLY;R
59780001;Carrefour Market;5061500.0;323700.0;59780;31 AVENUE D OGIMONT;Baisieux;R
59800001;Carrefour Market;5063085.487;309597.349348;59000;268 Rue Pierre Legrand;LILLE;R
59890001;Carrefour Market;5071687.0;300160.0;59890; Route de Comines;QUESNOY-SUR-DEûLE;R
59910001;Carrefour Market;5070600.0;310134.0;59910;AVENUE DU GENERAL DE GAULLE;BONDUES;R
59920001;Carrefour Market;5040300.0;366900.0;59920;53 Avenue Jean Jaurès;QUIéVRECHAIN;R
59940001;Carrefour Market;5064200.0;270500.0;59940;ROUTE DE MERVILLE;ESTAIRES;R
60000007;Carrefour;4943100.0;207100.0;60000;AVENUE NELSON MANDELA;Beauvais;R
60000011;Carrefour;4941000.0;210900.0;60000;9 Avenue Montaigne;BEAUVAIS;R
60120002;Carrefour Market;4963618.0;229025.0;60120;Rue d'Amiens;BRETEUIL;R
60150001;Carrefour Market;4946878.60836;286211.550724;60150;ZAC CHAMP SAINTE CROIX;LONGUEIL-ANNEL;R
60210002;Carrefour Market;4966000.0;194100.0;60210;RUE EUGENE ST FUSCIEN;GRANDVILLIERS;R
60260001;Carrefour Market;4915600.0;244500.0;60260;79 Avenue de la Libération;LAMORLAYE;R
60280001;Carrefour;4940800.0;278100.0;60280;6 Avenue de l'Europe;VENETTE;R
60320001;Carrefour Market;4929800.0;279800.0;60320;176, Avenue de la Gare;BéTHISY-SAINT-PIERRE;R
60340001;Carrefour Market;4920800.0;239100.0;60340;ROUTE DE PRECY;VILLERS-SOUS-SAINT-LEU;R
60360001;Carrefour Market;4960400.0;208500.0;60360;Avenue du Général de Gaulle;CRèVECOEUR-LE-GRAND;R
60390001;Carrefour Market;4936800.0;198700.0;60390;450 Rue des Aulnes;AUNEUIL;R
60410003;Carrefour Contact;4930913.0;273049.0;60410;Rue Juliette Adam;Verberie;R
60420001;Carrefour Market;4955300.0;253300.0;60420;2 rue de la croix de coivrel;Maignelay-Montigny;R
60490001;Carrefour Contact;4955100.0;275200.0;60490;69 Rue du Moulin;LA NEUVILLE-SUR-RESSONS;R
60500008;Carrefour Market;4920200.0;246300.0;60500;Allée de l'Europe;Chantilly;R
60530003;Carrefour Market;4922900.0;228200.0;60530;ZI route de Crouy;Neuilly-en-Thelle;R
60540002;Carrefour Contact;4920136.05;220429.72;60540;10 RUE LOUIS DENOUAL;BORNEL;R
60590002;Carrefour Contact;4935600.0;177000.0;60590;ZAC LA REMIS DU FRIER;Sérifontaine;R
60650006;Carrefour;4941700.0;192400.0;60650;RN31 - LE VIVIER DANGER;ONS EN BRAY;R
60750003;Carrefour Contact;4944223.32;288295.44;60750;100 rue de royaumont;Choisy-au-Bac;R
60800003;Carrefour Market;4922700.0;288400.0;60800;BD KENNEDY;CRéPY-EN-VALOIS;R
61000001;Carrefour Market;4841800.0;7600.0;61000;38 Route de Fresnay;SAINT-GERMAIN-DU-CORBéIS;R
61000002;Carrefour Market;4843815.0;10224.0;61000;174 avenue Quakenbruck;ALENçON;R
61000006;Carrefour Market;4843500.0;9700.0;61000;1 rue Denis Papin;ALENçON;R
61003001;Carrefour;4843300.0;6300.0;61250;Route de bretagne;CONDE SUR SARTHE;R
61100003;Carrefour Market;4875200.0;-57500.0;61100;Le Tremblay;Flers;R
61100007;Carrefour Market;4876653.00919;-72290.5356341;61800;ROUTE DE PARIS;TINCHEBRAY;R
61120002;Carrefour Market;4893500.0;19800.0;61120;BOULEVARD DENTU;VIMOUTIERS;R
61130001;Carrefour Market;4837500.0;54200.0;61130;Rue Guillaume SEZNEC;SAINT-MARTIN-DU-VIEUX-BELLEME;R
61140001;Carrefour Contact;4853000.0;-47200.0;61140;ZA Les Fourmis;La Chapelle-d'Andaine;R
61160001;Carrefour Contact;4885412.0;5155.0000000002;61160;Avenue de la Cavée d'Auge;Trun;R
61190002;Carrefour Contact;4858900.0;65300.0;61190;Rue de frères Juchereau;Tourouvre;R
61200001;Carrefour Market;4874900.0;-2700.0;61200;1 rue de Champagne;ARGENTAN;R
61430002;Carrefour Contact;4880600.0;-50000.0;61430;la coquerie;Athis-de-l'Orne;R
61500004;Carrefour Market;4860000.0;17100.0;61500;Rue du général Leclerc;Sées;R
